col0,col1,col2,col3
1.0,72.4137474,1.0,179.522015
1.02329299,72.4132861,1.02329299,179.511787
1.04712855,72.4128067,1.04712855,179.501378
1.07151931,72.4123086,1.07151931,179.490788
1.0964782,72.4117913,1.0964782,179.480015
1.12201845,72.4112543,1.12201845,179.469059
1.14815362,72.4106969,1.14815362,179.45792
1.17489755,72.4101186,1.17489755,179.446597
1.20226443,72.409519,1.20226443,179.435089
1.23026877,72.4088974,1.23026877,179.423398
1.25892541,72.4082532,1.25892541,179.411523
1.28824955,72.4075861,1.28824955,179.399464
1.31825674,72.4068955,1.31825674,179.387222
1.34896288,72.4061808,1.34896288,179.374797
1.38038426,72.4054416,1.38038426,179.362191
1.41253754,72.4046775,1.41253754,179.349405
1.44543977,72.403888,1.44543977,179.336439
1.47910839,72.4030726,1.47910839,179.323294
1.51356125,72.4022311,1.51356125,179.309974
1.54881662,72.4013631,1.54881662,179.296478
1.58489319,72.4004682,1.58489319,179.282809
1.6218101,72.3995462,1.6218101,179.268969
1.65958691,72.3985968,1.65958691,179.254961
1.69824365,72.3976199,1.69824365,179.240785
1.73780083,72.3966154,1.73780083,179.226445
1.77827941,72.3955831,1.77827941,179.211943
1.81970086,72.394523,1.81970086,179.197281
1.86208714,72.3934351,1.86208714,179.182462
1.90546072,72.3923195,1.90546072,179.167489
1.9498446,72.3911764,1.9498446,179.152364
1.99526231,72.3900061,1.99526231,179.137089
2.04173794,72.3888087,2.04173794,179.121667
2.08929613,72.3875846,2.08929613,179.1061
2.13796209,72.3863343,2.13796209,179.09039
2.18776162,72.3850582,2.18776162,179.07454
2.23872114,72.3837571,2.23872114,179.058552
2.29086765,72.3824314,2.29086765,179.042426
2.34422882,72.3810819,2.34422882,179.026164
2.39883292,72.3797095,2.39883292,179.009768
2.45470892,72.378315,2.45470892,178.993237
2.51188643,72.3768994,2.51188643,178.976573
2.57039578,72.3754637,2.57039578,178.959774
2.63026799,72.3740089,2.63026799,178.94284
2.6915348,72.3725364,2.6915348,178.92577
2.7542287,72.3710471,2.7542287,178.908562
2.81838293,72.3695426,2.81838293,178.891213
2.8840315,72.368024,2.8840315,178.873721
2.95120923,72.3664929,2.95120923,178.856081
3.01995172,72.3649505,3.01995172,178.83829
3.09029543,72.3633984,3.09029543,178.820341
3.16227766,72.3618381,3.16227766,178.802229
3.23593657,72.3602712,3.23593657,178.783948
3.31131121,72.3586991,3.31131121,178.765489
3.38844156,72.3571235,3.38844156,178.746844
3.4673685,72.3555458,3.4673685,178.728003
3.54813389,72.3539678,3.54813389,178.708958
3.63078055,72.3523909,3.63078055,178.689695
3.71535229,72.3508167,3.71535229,178.670205
