col0,col1,col2,col3
1.0,72.4089556,1.0,179.708103
1.02329299,72.4088168,1.02329299,179.703172
1.04712855,72.4086817,1.04712855,179.698114
1.07151931,72.4085504,1.07151931,179.692928
1.0964782,72.4084227,1.0964782,179.687607
1.12201845,72.4082985,1.12201845,179.682149
1.14815362,72.408178,1.14815362,179.676548
1.17489755,72.4080609,1.17489755,179.670802
1.20226443,72.4079473,1.20226443,179.664905
1.23026877,72.4078371,1.23026877,179.658853
1.25892541,72.4077301,1.25892541,179.652643
1.28824955,72.4076264,1.28824955,179.646269
1.31825674,72.4075258,1.31825674,179.639727
1.34896288,72.4074283,1.34896288,179.633012
1.38038426,72.4073337,1.38038426,179.626121
1.41253754,72.4072421,1.41253754,179.619049
1.44543977,72.4071533,1.44543977,179.61179
1.47910839,72.4070672,1.47910839,179.604341
1.51356125,72.4069837,1.51356125,179.596696
1.54881662,72.4069028,1.54881662,179.588851
1.58489319,72.4068243,1.58489319,179.580801
1.6218101,72.4067481,1.6218101,179.572541
1.65958691,72.4066743,1.65958691,179.564065
1.69824365,72.4066026,1.69824365,179.555369
1.73780083,72.406533,1.73780083,179.546447
1.77827941,72.4064654,1.77827941,179.537294
1.81970086,72.4063997,1.81970086,179.527905
1.86208714,72.4063357,1.86208714,179.518274
1.90546072,72.4062735,1.90546072,179.508396
1.9498446,72.4062129,1.9498446,179.498264
1.99526231,72.4061539,1.99526231,179.487874
2.04173794,72.4060962,2.04173794,179.477218
2.08929613,72.4060399,2.08929613,179.466292
2.13796209,72.4059849,2.13796209,179.455088
2.18776162,72.405931,2.18776162,179.443601
2.23872114,72.4058782,2.23872114,179.431824
2.29086765,72.4058264,2.29086765,179.41975
2.34422882,72.4057754,2.34422882,179.407373
2.39883292,72.4057253,2.39883292,179.394687
2.45470892,72.4056758,2.45470892,179.381683
2.51188643,72.405627,2.51188643,179.368355
2.57039578,72.4055788,2.57039578,179.354695
2.63026799,72.4055309,2.63026799,179.340697
2.6915348,72.4054835,2.6915348,179.326352
2.7542287,72.4054363,2.7542287,179.311652
2.81838293,72.4053892,2.81838293,179.29659
2.8840315,72.4053423,2.8840315,179.281157
2.95120923,72.4052953,2.95120923,179.265346
3.01995172,72.4052483,3.01995172,179.249146
3.09029543,72.405201,3.09029543,179.232551
3.16227766,72.4051535,3.16227766,179.21555
3.23593657,72.4051056,3.23593657,179.198135
3.31131121,72.4050572,3.31131121,179.180296
3.38844156,72.4050082,3.38844156,179.162023
3.4673685,72.4049585,3.4673685,179.143307
3.54813389,72.4049081,3.54813389,179.124139
3.63078055,72.4048568,3.63078055,179.104506
3.71535229,72.4048044,3.71535229,179.084399
3.80189396,72.404751,3.80189396,179.063808
3.89045145,72.4046964,3.89045145,179.042721
3.98107171,72.4046404,3.98107171,179.021126
4.07380278,72.404583,4.07380278,178.999013
4.16869383,72.404524,4.16869383,178.976369
4.26579519,72.4044633,4.26579519,178.953182
4.36515832,72.4044007,4.36515832,178.92944
4.46683592,72.4043362,4.46683592,178.905131
4.5708819,72.4042696,4.5708819,178.88024
4.67735141,72.4042008,4.67735141,178.854756
4.78630092,72.4041295,4.78630092,178.828663
4.89778819,72.4040557,4.89778819,178.801949
5.01187234,72.4039792,5.01187234,178.774599
5.12861384,72.4038998,5.12861384,178.746599
5.2480746,72.4038174,5.2480746,178.717933
5.37031796,72.4037317,5.37031796,178.688586
5.49540874,72.4036426,5.49540874,178.658542
5.62341325,72.4035498,5.62341325,178.627786
5.75439937,72.4034533,5.75439937,178.596301
5.88843655,72.4033526,5.88843655,178.56407
6.02559586,72.4032478,6.02559586,178.531075
6.16595002,72.4031384,6.16595002,178.4973
6.30957344,72.4030242,6.30957344,178.462726
6.45654229,72.4029051,6.45654229,178.427335
6.60693448,72.4027806,6.60693448,178.391107
6.76082975,72.4026506,6.76082975,178.354024
6.91830971,72.4025148,6.91830971,178.316065
7.07945784,72.4023728,7.07945784,178.27721
7.2443596,72.4022243,7.2443596,178.237438
7.41310241,72.402069,7.41310241,178.196729
7.58577575,72.4019065,7.58577575,178.155059
7.76247117,72.4017364,7.76247117,178.112408
7.94328235,72.4015584,7.94328235,178.068752
8.12830516,72.401372,8.12830516,178.024067
8.31763771,72.4011769,8.31763771,177.97833
8.51138038,72.4009724,8.51138038,177.931516
8.7096359,72.4007583,8.7096359,177.8836
8.91250938,72.4005339,8.91250938,177.834556
9.12010839,72.4002988,9.12010839,177.784359
9.33254301,72.4000523,9.33254301,177.73298
9.54992586,72.3997939,9.54992586,177.680393
9.77237221,72.3995231,9.77237221,177.626569
10.0,72.399239,10.0,177.57148
10.2329299,72.3989412,10.2329299,177.515096
10.4712855,72.3986288,10.4712855,177.457386
10.7151931,72.398301,10.7151931,177.39832
10.964782,72.3979572,10.964782,177.337866
11.2201845,72.3975965,11.2201845,177.275991
11.4815362,72.397218,11.4815362,177.212663
11.7489755,72.3968207,11.7489755,177.147847
12.0226443,72.3964038,12.0226443,177.081509
12.3026877,72.3959661,12.3026877,177.013613
12.5892541,72.3955066,12.5892541,176.944123
12.8824955,72.3950243,12.8824955,176.873001
13.1825674,72.3945178,13.1825674,176.80021
13.4896288,72.393986,13.4896288,176.725711
13.8038426,72.3934275,13.8038426,176.649464
14.1253754,72.3928409,14.1253754,176.571428
14.4543977,72.3922249,14.4543977,176.491562
14.7910839,72.3915777,14.7910839,176.409823
15.1356125,72.390898,15.1356125,176.326168
15.4881662,72.3901838,15.4881662,176.240552
15.8489319,72.3894336,15.8489319,176.15293
16.218101,72.3886453,16.218101,176.063256
16.5958691,72.387817,16.5958691,175.971482
16.9824365,72.3869467,16.9824365,175.877561
17.3780083,72.3860321,17.3780083,175.781442
17.7827941,72.3850711,17.7827941,175.683075
18.1970086,72.3840611,18.1970086,175.582409
18.6208714,72.3829997,18.6208714,175.479392
19.0546072,72.3818842,19.0546072,175.373969
19.498446,72.3807119,19.498446,175.266087
19.9526231,72.3794798,19.9526231,175.155689
20.4173794,72.3781849,20.4173794,175.042718
20.8929613,72.3768239,20.8929613,174.927117
21.3796209,72.3753937,21.3796209,174.808827
21.8776162,72.3738905,21.8776162,174.687787
22.3872114,72.3723108,22.3872114,174.563936
22.9086765,72.3706506,22.9086765,174.437211
23.4422882,72.3689061,23.4422882,174.30755
23.9883292,72.3670728,23.9883292,174.174887
24.5470892,72.3651465,24.5470892,174.039156
25.1188643,72.3631225,25.1188643,173.90029
25.7039578,72.360996,25.7039578,173.758222
26.3026799,72.3587619,26.3026799,173.612882
26.915348,72.356415,26.915348,173.464199
27.542287,72.3539498,27.542287,173.312102
28.1838293,72.3513605,28.1838293,173.156518
28.840315,72.3486411,28.840315,172.997372
29.5120923,72.3457854,29.5120923,172.834591
30.1995172,72.3427869,30.1995172,172.668098
30.9029543,72.3396387,30.9029543,172.497815
31.6227766,72.3363338,31.6227766,172.323663
32.3593657,72.3328647,32.3593657,172.145565
33.1131121,72.3292238,33.1131121,171.963438
33.8844156,72.3254031,33.8844156,171.777201
34.673685,72.3213941,34.673685,171.586772
35.4813389,72.3171882,35.4813389,171.392067
36.3078055,72.3127762,36.3078055,171.193
37.1535229,72.3081488,37.1535229,170.989486
38.0189396,72.3032962,38.0189396,170.781439
38.9045145,72.298208,38.9045145,170.56877
39.8107171,72.2928738,39.8107171,170.351392
40.7380278,72.2872823,40.7380278,170.129215
41.6869383,72.2814222,41.6869383,169.902148
42.6579519,72.2752814,42.6579519,169.670102
43.6515832,72.2688476,43.6515832,169.432984
44.6683592,72.2621077,44.6683592,169.190702
45.708819,72.2550485,45.708819,168.943165
46.7735141,72.2476559,46.7735141,168.690278
47.8630092,72.2399155,47.8630092,168.431949
48.9778819,72.2318122,48.9778819,168.168083
50.1187234,72.2233304,50.1187234,167.898588
51.2861384,72.214454,51.2861384,167.623368
52.480746,72.2051661,52.480746,167.342331
53.7031796,72.1954493,53.7031796,167.055383
54.9540874,72.1852856,54.9540874,166.762429
56.2341325,72.1746562,56.2341325,166.463378
57.5439937,72.1635418,57.5439937,166.158138
58.8843655,72.1519222,58.8843655,165.846616
60.2559586,72.1397767,60.2559586,165.528724
61.6595002,72.1270839,61.6595002,165.204371
63.0957344,72.1138213,63.0957344,164.873469
64.5654229,72.0999661,64.5654229,164.535933
66.0693448,72.0854945,66.0693448,164.191679
67.6082975,72.070382,67.6082975,163.840623
69.1830971,72.0546033,69.1830971,163.482687
70.7945784,72.0381322,70.7945784,163.117793
72.443596,72.020942,72.443596,162.745867
74.1310241,72.0030049,74.1310241,162.366836
75.8577575,71.9842924,75.8577575,161.980635
77.6247117,71.9647751,77.6247117,161.587198
79.4328235,71.9444231,79.4328235,161.186466
81.2830516,71.9232053,81.2830516,160.778384
83.1763771,71.90109,83.1763771,160.3629
85.1138038,71.8780448,85.1138038,159.939971
87.096359,71.8540363,87.096359,159.509555
89.1250938,71.8290305,89.1250938,159.071619
91.2010839,71.8029926,91.2010839,158.626135
93.3254301,71.7758871,93.3254301,158.173083
95.4992586,71.7476779,95.4992586,157.712449
97.7237221,71.718328,97.7237221,157.244225
100.0,71.6878,100.0,156.768415
102.329299,71.6560559,102.329299,156.285027
104.712855,71.6230569,104.712855,155.794079
107.151931,71.5887642,107.151931,155.295601
109.64782,71.553138,109.64782,154.789627
112.201845,71.5161386,112.201845,154.276205
114.815362,71.4777257,114.815362,153.755392
117.489755,71.4378589,117.489755,153.227254
120.226443,71.3964975,120.226443,152.691871
123.026877,71.3536009,123.026877,152.14933
125.892541,71.3091283,125.892541,151.599733
128.824955,71.2630391,128.824955,151.043192
131.825674,71.2152928,131.825674,150.479829
134.896288,71.1658492,134.896288,149.909782
138.038426,71.1146687,138.038426,149.333198
141.253754,71.0617117,141.253754,148.750236
144.543977,71.0069396,144.543977,148.16107
147.910839,70.9503144,147.910839,147.565884
151.356125,70.8917987,151.356125,146.964875
154.881662,70.8313563,154.881662,146.358251
158.489319,70.7689518,158.489319,145.746233
162.18101,70.7045513,162.18101,145.129055
165.958691,70.6381217,165.958691,144.506959
169.824365,70.5696315,169.824365,143.880202
173.780083,70.4990509,173.780083,143.249049
177.827941,70.4263514,177.827941,142.613776
181.970086,70.3515062,181.970086,141.97467
186.208714,70.2744905,186.208714,141.332027
190.546072,70.1952813,190.546072,140.68615
194.98446,70.1138575,194.98446,140.037352
199.526231,70.0302003,199.526231,139.385953
204.173794,69.9442928,204.173794,138.732279
208.929613,69.8561205,208.929613,138.076662
213.796209,69.765671,213.796209,137.41944
218.776162,69.6729344,218.776162,136.760954
223.872114,69.5779032,223.872114,136.101549
229.086765,69.480572,229.086765,135.441573
234.422882,69.3809382,234.422882,134.781374
239.883292,69.2790013,239.883292,134.121301
245.470892,69.1747635,245.470892,133.461704
251.188643,69.0682294,251.188643,132.802931
257.039578,68.9594058,257.039578,132.145326
263.026799,68.8483022,263.026799,131.489234
269.15348,68.7349301,269.15348,130.834991
275.42287,68.6193035,275.42287,130.182933
281.838293,68.5014386,281.838293,129.533387
288.40315,68.3813538,288.40315,128.886676
295.120923,68.2590695,295.120923,128.243113
301.995172,68.1346083,301.995172,127.603005
309.029543,68.0079945,309.029543,126.966652
316.227766,67.8792543,316.227766,126.334341
323.593657,67.7484158,323.593657,125.706352
331.131121,67.6155086,331.131121,125.082953
338.844156,67.4805637,338.844156,124.464405
346.73685,67.3436138,346.73685,123.850953
354.813389,67.2046926,354.813389,123.242833
363.078055,67.0638351,363.078055,122.640271
371.535229,66.9210776,371.535229,122.043477
380.189396,66.776457,380.189396,121.452653
389.045145,66.6300112,389.045145,120.867986
398.107171,66.4817789,398.107171,120.289653
407.380278,66.3317993,407.380278,119.717816
416.869383,66.1801121,416.869383,119.152627
426.579519,66.0267576,426.579519,118.594225
436.515832,65.8717762,436.515832,118.042737
446.683592,65.7152086,446.683592,117.498279
457.08819,65.5570956,457.08819,116.960954
467.735141,65.3974779,467.735141,116.430854
478.630092,65.2363964,478.630092,115.908059
489.778819,65.0738916,489.778819,115.392641
501.187234,64.9100039,501.187234,114.884658
512.861384,64.7447734,512.861384,114.384159
524.80746,64.5782399,524.80746,113.891184
537.031796,64.4104427,537.031796,113.405763
549.540874,64.2414205,549.540874,112.927915
562.341325,64.0712118,562.341325,112.457653
575.439937,63.8998542,575.439937,111.99498
588.843655,63.727385,588.843655,111.53989
602.559586,63.5538406,602.559586,111.092373
616.595002,63.3792568,616.595002,110.652407
630.957344,63.2036686,630.957344,110.219966
645.654229,63.0271106,645.654229,109.795018
660.693448,62.8496162,660.693448,109.377523
676.082975,62.6712182,676.082975,108.967437
691.830971,62.4919488,691.830971,108.564709
707.945784,62.3118392,707.945784,108.169285
724.43596,62.1309197,724.43596,107.781105
741.310241,61.94922,741.310241,107.400105
758.577575,61.766769,758.577575,107.026217
776.247117,61.5835946,776.247117,106.659369
794.328235,61.3997239,794.328235,106.299487
812.830516,61.2151835,812.830516,105.946493
831.763771,61.0299987,831.763771,105.600307
851.138038,60.8441945,851.138038,105.260845
870.96359,60.6577949,870.96359,104.928022
891.250938,60.470823,891.250938,104.601751
912.010839,60.2833013,912.010839,104.281944
933.254301,60.0952515,933.254301,103.968509
954.992586,59.9066947,954.992586,103.661355
977.237221,59.7176511,977.237221,103.360389
1000.0,59.5281402,1000.0,103.065519
1023.29299,59.3381809,1023.29299,102.776648
1047.12855,59.1477914,1047.12855,102.493684
1071.51931,58.9569893,1071.51931,102.216529
1096.4782,58.7657914,1096.4782,101.945089
1122.01845,58.574214,1122.01845,101.679269
1148.15362,58.3822729,1148.15362,101.418972
1174.89755,58.189983,1174.89755,101.164103
1202.26443,57.9973588,1202.26443,100.914567
1230.26877,57.8044145,1230.26877,100.670269
1258.92541,57.6111633,1258.92541,100.431114
1288.24955,57.4176181,1288.24955,100.19701
1318.25674,57.2237914,1318.25674,99.967862
1348.96288,57.0296951,1348.96288,99.7435782
1380.38426,56.8353405,1380.38426,99.5240667
1412.53754,56.6407387,1412.53754,99.3092365
1445.43977,56.4459002,1445.43977,99.0989975
1479.10839,56.2508352,1479.10839,98.8932606
1513.56125,56.0555533,1513.56125,98.6919377
1548.81662,55.8600638,1548.81662,98.4949414
1584.89319,55.6643757,1584.89319,98.3021858
1621.8101,55.4684975,1621.8101,98.1135857
1659.58691,55.2724374,1659.58691,97.9290572
1698.24365,55.0762034,1698.24365,97.7485175
1737.80083,54.8798029,1737.80083,97.5718849
1778.27941,54.6832432,1778.27941,97.3990789
1819.70086,54.4865312,1819.70086,97.2300202
1862.08714,54.2896736,1862.08714,97.0646307
1905.46072,54.0926766,1905.46072,96.9028334
1949.8446,53.8955464,1949.8446,96.7445527
1995.26231,53.6982889,1995.26231,96.589714
2041.73794,53.5009095,2041.73794,96.438244
2089.29613,53.3034136,2089.29613,96.2900706
2137.96209,53.1058064,2137.96209,96.145123
2187.76162,52.9080927,2187.76162,96.0033315
2238.72114,52.7102772,2238.72114,95.8646277
2290.86765,52.5123645,2290.86765,95.7289443
2344.22882,52.3143587,2344.22882,95.5962152
2398.83292,52.116264,2398.83292,95.4663756
2454.70892,51.9180844,2454.70892,95.3393618
2511.88643,51.7198235,2511.88643,95.2151111
2570.39578,51.521485,2570.39578,95.0935622
2630.26799,51.3230724,2630.26799,94.9746549
2691.5348,51.1245888,2691.5348,94.8583299
2754.2287,50.9260374,2754.2287,94.7445293
2818.38293,50.7274213,2818.38293,94.6331962
2884.0315,50.5287434,2884.0315,94.5242747
2951.20923,50.3300063,2951.20923,94.41771
3019.95172,50.1312127,3019.95172,94.3134485
3090.29543,49.9323651,3090.29543,94.2114373
3162.27766,49.7334659,3162.27766,94.111625
3235.93657,49.5345174,3235.93657,94.0139607
3311.31121,49.3355219,3311.31121,93.918395
3388.44156,49.1364813,3388.44156,93.8248789
3467.3685,48.9373978,3467.3685,93.733365
3548.13389,48.7382732,3548.13389,93.6438062
3630.78055,48.5391093,3630.78055,93.5561568
3715.35229,48.339908,3715.35229,93.4703717
3801.89396,48.1406708,3801.89396,93.386407
3890.45145,47.9413994,3890.45145,93.3042194
3981.07171,47.7420954,3981.07171,93.2237665
4073.80278,47.5427601,4073.80278,93.1450068
4168.69383,47.343395,4168.69383,93.0678997
4265.79519,47.1440014,4265.79519,92.9924053
4365.15832,46.9445806,4365.15832,92.9184843
4466.83592,46.7451337,4466.83592,92.8460987
4570.8819,46.5456621,4570.8819,92.7752106
4677.35141,46.3461667,4677.35141,92.7057834
4786.30092,46.1466486,4786.30092,92.637781
4897.78819,45.9471089,4897.78819,92.5711678
5011.87234,45.7475485,5011.87234,92.5059093
5128.61384,45.5479683,5128.61384,92.4419714
5248.0746,45.3483693,5248.0746,92.3793207
5370.31796,45.1487523,5370.31796,92.3179246
5495.40874,44.949118,5495.40874,92.2577509
5623.41325,44.7494673,5623.41325,92.1987681
5754.39937,44.5498009,5754.39937,92.1409455
5888.43655,44.3501194,5888.43655,92.0842527
6025.59586,44.1504237,6025.59586,92.02866
6165.95002,43.9507142,6165.95002,91.9741383
6309.57344,43.7509917,6309.57344,91.920659
6456.54229,43.5512567,6456.54229,91.8681939
6606.93448,43.3515098,6606.93448,91.8167157
6760.82975,43.1517515,6760.82975,91.7661971
6918.30971,42.9519822,6918.30971,91.7166118
7079.45784,42.7522026,7079.45784,91.6679335
