cella,variante,f_hz,amp,gm,rl,grandezza,uscita,picco_V,t_picco_s,finestra_s,esito,nota
gm0x10_lz_i,l29d_N,1000,0,0a10,100k,A_ins,MAINJACK,4.142e-09,2.362677,2.000,sotto,riferimento g0sempre_lz_N
gm0x10_lz_i,l29d_N,1000,0,0a10,100k,A_rel,MAINJACK,0.0001115,8.000031,2.000,SOPRA,riferimento g0mai_lz_N
gm0x10_lz_i,l29d_N,1000,0,0a10,100k,B2,MAINJACK,3.118e-09,7.520000,,sotto,mute da t_ins+t_grad+20 ms a t_rel
gm0x10_lz_i,l29d_N,1000,0,0a10,100k,A_ins,FIXJACK1,4.145e-09,2.362677,2.000,sotto,riferimento g0sempre_lz_N
gm0x10_lz_i,l29d_N,1000,0,0a10,100k,A_rel,FIXJACK1,1.922e-10,8.000156,2.000,sotto,riferimento g0mai_lz_N
gm0x10_lz_i,l29d_N,1000,0,0a10,100k,B2,FIXJACK1,7.578e-09,7.520000,,sotto,mute da t_ins+t_grad+20 ms a t_rel
gm0x10_lz_i,l29d_N,1000,0,0a10,100k,A_ins,FIXJACK2,4.144e-09,2.362510,2.000,sotto,riferimento g0sempre_lz_N
gm0x10_lz_i,l29d_N,1000,0,0a10,100k,A_rel,FIXJACK2,1.94e-10,8.000156,2.000,sotto,riferimento g0mai_lz_N
gm0x10_lz_i,l29d_N,1000,0,0a10,100k,B2,FIXJACK2,7.578e-09,7.520000,,sotto,mute da t_ins+t_grad+20 ms a t_rel
gm0x10_lz_c,l29d_N,1000,0,0a10,100k,A_ins,MAINJACK,0.0001115,8.000031,2.000,SOPRA,riferimento g10sempre_lz_N
gm0x10_lz_c,l29d_N,1000,0,0a10,100k,A_rel,MAINJACK,3.192e-08,11.323177,2.000,sotto,riferimento g10mai_lz_N
gm0x10_lz_c,l29d_N,1000,0,0a10,100k,B2,MAINJACK,3.763e-07,8.027042,,sotto,mute da t_ins+t_grad+20 ms a t_rel
gm0x10_lz_c,l29d_N,1000,0,0a10,100k,A_ins,FIXJACK1,1.904e-10,8.000156,2.000,sotto,riferimento g10sempre_lz_N
gm0x10_lz_c,l29d_N,1000,0,0a10,100k,A_rel,FIXJACK1,1.012e-08,11.323354,2.000,sotto,riferimento g10mai_lz_N
gm0x10_lz_c,l29d_N,1000,0,0a10,100k,B2,FIXJACK1,9.609e-14,8.026625,,sotto,mute da t_ins+t_grad+20 ms a t_rel
gm0x10_lz_c,l29d_N,1000,0,0a10,100k,A_ins,FIXJACK2,1.904e-10,8.000156,2.000,sotto,riferimento g10sempre_lz_N
gm0x10_lz_c,l29d_N,1000,0,0a10,100k,A_rel,FIXJACK2,1.012e-08,11.323313,2.000,sotto,riferimento g10mai_lz_N
gm0x10_lz_c,l29d_N,1000,0,0a10,100k,B2,FIXJACK2,9.277e-14,8.029531,,sotto,mute da t_ins+t_grad+20 ms a t_rel
mev_lz,l29d_N_ev,1000,0,10,100k,A_ins,MAINJACK,1.306e-08,2.362167,2.000,sotto,riferimento g10sempre_lz_N
mev_lz,l29d_N_ev,1000,0,10,100k,A_rel,MAINJACK,3.188e-08,9.823167,2.000,sotto,riferimento g10mai_lz_N
mev_lz,l29d_N_ev,1000,0,10,100k,B2,MAINJACK,9.828e-09,7.520000,,sotto,mute da t_ins+t_grad+20 ms a t_rel
mev_lz,l29d_N_ev,1000,0,10,100k,A_ins,FIXJACK1,4.145e-09,2.362510,2.000,sotto,riferimento g10sempre_lz_N
mev_lz,l29d_N_ev,1000,0,10,100k,A_rel,FIXJACK1,1.011e-08,9.823156,2.000,sotto,riferimento g10mai_lz_N
mev_lz,l29d_N_ev,1000,0,10,100k,B2,FIXJACK1,7.578e-09,7.520000,,sotto,mute da t_ins+t_grad+20 ms a t_rel
