col0,col1,col2,col3
20.0,1.08025093e-08,20.0,9.08713736e-09
20.942571,1.07709299e-08,20.942571,9.06033116e-09
21.9295639,1.07407911e-08,21.9295639,9.03475926e-09
22.9630724,1.07120265e-08,22.9630724,9.01036389e-09
24.0452887,1.06845733e-08,24.0452887,8.98709003e-09
25.1785082,1.0658371e-08,25.1785082,8.96488528e-09
26.3651348,1.06333624e-08,26.3651348,8.94369979e-09
27.6076853,1.06094926e-08,27.6076853,8.92348604e-09
28.9087954,1.05867094e-08,28.9087954,8.90419882e-09
30.271225,1.0564963e-08,30.271225,8.88579505e-09
31.6978638,1.05442058e-08,31.6978638,8.8682337e-09
33.1917381,1.05243925e-08,33.1917381,8.8514757e-09
34.7560166,1.05054799e-08,34.7560166,8.83548381e-09
36.3940172,1.04874268e-08,36.3940172,8.82022257e-09
38.1092144,1.04701938e-08,38.1092144,8.8056582e-09
39.9052463,1.04537435e-08,39.9052463,8.7917585e-09
41.7859226,1.043804e-08,41.7859226,8.77849278e-09
43.7552325,1.04230492e-08,43.7552325,8.76583182e-09
45.8173531,1.04087387e-08,45.8173531,8.75374775e-09
47.9766584,1.03950773e-08,47.9766584,8.74221402e-09
50.2377286,1.03820353e-08,50.2377286,8.73120531e-09
52.6053598,1.03695847e-08,52.6053598,8.7206975e-09
55.0845741,1.03576983e-08,55.0845741,8.71066759e-09
57.6806301,1.03463505e-08,57.6806301,8.70109365e-09
60.3990344,1.03355168e-08,60.3990344,8.69195477e-09
63.2455532,1.03251737e-08,63.2455532,8.68323102e-09
66.2262243,1.0315299e-08,66.2262243,8.6749034e-09
69.3473701,1.03058712e-08,69.3473701,8.66695377e-09
72.615611,1.02968701e-08,72.615611,8.65936486e-09
76.0378793,1.02882763e-08,76.0378793,8.65212018e-09
79.6214341,1.02800712e-08,79.6214341,8.645204e-09
83.3738767,1.02722373e-08,83.3738767,8.63860135e-09
87.3031664,1.02647576e-08,87.3031664,8.63229791e-09
91.4176379,1.02576161e-08,91.4176379,8.62628004e-09
95.7260185,1.02507973e-08,95.7260185,8.62053473e-09
100.237447,1.02442868e-08,100.237447,8.61504956e-09
104.961492,1.02380705e-08,104.961492,8.6098127e-09
109.908175,1.0232135e-08,109.908175,8.60481284e-09
115.087987,1.02264676e-08,115.087987,8.60003921e-09
120.511917,1.02210562e-08,120.511917,8.59548151e-09
126.191469,1.02158892e-08,126.191469,8.59112994e-09
132.13869,1.02109555e-08,132.13869,8.58697514e-09
138.366194,1.02062445e-08,138.366194,8.58300816e-09
144.887192,1.02017462e-08,144.887192,8.57922049e-09
151.715515,1.01974509e-08,151.715515,8.57560399e-09
158.865647,1.01933495e-08,158.865647,8.57215088e-09
166.352754,1.01894331e-08,166.352754,8.56885378e-09
174.192718,1.01856935e-08,174.192718,8.56570559e-09
182.402168,1.01821225e-08,182.402168,8.56269958e-09
190.998517,1.01787127e-08,190.998517,8.5598293e-09
200.0,1.01754566e-08,200.0,8.55708861e-09
209.42571,1.01723474e-08,209.42571,8.55447163e-09
219.295639,1.01693784e-08,219.295639,8.55197277e-09
229.630724,1.01665433e-08,229.630724,8.54958669e-09
240.452887,1.0163836e-08,240.452887,8.54730827e-09
251.785082,1.01612508e-08,251.785082,8.54513266e-09
263.651348,1.01587821e-08,263.651348,8.54305519e-09
276.076853,1.01564247e-08,276.076853,8.54107144e-09
289.087954,1.01541735e-08,289.087954,8.53917716e-09
302.71225,1.01520238e-08,302.71225,8.53736831e-09
316.978638,1.0149971e-08,316.978638,8.53564104e-09
331.917381,1.01480107e-08,331.917381,8.53399164e-09
347.560166,1.01461388e-08,347.560166,8.53241662e-09
363.940172,1.01443512e-08,363.940172,8.5309126e-09
381.092144,1.01426441e-08,381.092144,8.52947638e-09
399.052463,1.01410139e-08,399.052463,8.5281049e-09
417.859226,1.01394572e-08,417.859226,8.52679524e-09
437.552325,1.01379705e-08,437.552325,8.5255446e-09
458.173531,1.01365509e-08,458.173531,8.52435032e-09
479.766584,1.01351951e-08,479.766584,8.52320986e-09
502.377286,1.01339005e-08,502.377286,8.52212078e-09
526.053598,1.01326641e-08,526.053598,8.52108078e-09
550.845741,1.01314834e-08,550.845741,8.52008762e-09
576.806301,1.01303558e-08,576.806301,8.51913921e-09
603.990344,1.0129279e-08,603.990344,8.51823352e-09
