col0,col1,col2,col3,col4,col5
20.0,1693.61007,20.0,53.1318153,20.0,0.036174335
22.4403691,1509.58421,22.4403691,51.8771584,22.4403691,0.0361743482
25.1785082,1345.58876,25.1785082,50.8805441,25.1785082,0.0361743961
28.2507509,1199.44783,28.2507509,50.0889022,28.2507509,0.036174505
31.6978638,1069.22239,31.6978638,49.4600767,31.6978638,0.0361747069
35.5655882,953.18454,35.5655882,48.9605815,35.5655882,0.0361750403
39.9052463,849.794579,39.9052463,48.5638176,39.9052463,0.0361755506
44.7744228,757.680621,44.7744228,48.2486563,44.7744228,0.0361762916
50.2377286,675.620369,50.2377286,47.9983144,50.2377286,0.0361773263
56.3676586,602.524902,56.3676586,47.7994606,56.3676586,0.0361787304
63.2455532,537.424221,63.2455532,47.6415052,63.2455532,0.0361805956
70.9626778,479.454375,70.9626778,47.5160367,70.9626778,0.0361830343
79.6214341,427.845976,79.6214341,47.4163735,79.6214341,0.0361861865
89.3367184,381.913978,89.3367184,47.3372081,89.3367184,0.0361902274
100.237447,341.048558,100.237447,47.2743248,100.237447,0.0361953772
112.468265,304.706985,112.468265,47.2243748,112.468265,0.0362019134
126.191469,272.406367,126.191469,47.1846981,126.191469,0.0362101857
141.589157,243.717173,141.589157,47.1531818,141.589157,0.0362206352
158.865647,218.257433,158.865647,47.1281475,158.865647,0.0362338172
178.250188,195.68754,178.250188,47.108262,178.250188,0.0362504312
200.0,175.705571,200.0,47.0924664,200.0,0.036271357
224.403691,158.04305,224.403691,47.0799196,224.403691,0.0362977006
251.785082,142.461103,251.785082,47.0699533,251.785082,0.0363308518
282.507509,128.746929,282.507509,47.0620367,282.507509,0.0363725546
316.978638,116.710547,316.978638,47.0557484,316.978638,0.0364249961
355.655882,106.181791,355.655882,47.0507535,355.655882,0.036490916
399.052463,97.0075237,399.052463,47.0467859,399.052463,0.0365737408
447.744228,89.049099,447.744228,47.0436343,447.744228,0.0366777495
502.377286,82.1800842,502.377286,47.041131,502.377286,0.0368082744
563.676586,76.2843141,563.676586,47.0391426,563.676586,0.0369719431
632.455532,71.2543319,632.455532,47.0375632,632.455532,0.0371769675
709.626778,66.9902645,709.626778,47.0363088,709.626778,0.0374334831
796.214341,63.3991446,796.214341,47.0353124,796.214341,0.0377539405
893.367184,60.3946367,893.367184,47.0345211,893.367184,0.0381535466
1002.37447,57.8970655,1002.37447,47.0338927,1002.37447,0.0386507478
1124.68265,55.8336132,1124.68265,47.0333937,1124.68265,0.0392677375
1261.91469,54.1385368,1261.91469,47.0329977,1261.91469,0.040030963
1415.89157,52.7532895,1415.89157,47.0326834,1415.89157,0.0409715972
1588.65647,51.6264677,1588.65647,47.0324341,1588.65647,0.0421259325
