blk,modo_db,f_hz,vin_pk,k_att,caso,p_q132,p_q133,icmax_q132,icmin_q132,icmax_q133,icmin_q133,p_q122,icmax_q122,p_q125,p_q127,p_q121a,p_q121b,p_q117,p_q118,p_q106,p_jq110a,p_jq110b,p_r134,p_r135,p_r130,p_r131,p_r123,p_r126,p_rsep,p_rsep2,irms_rsep,irms_rsep2,p_q132_w1,p_q132_w2,voutpk
A,0,1000,0,1,0,0.213981,0.213522,0.0145565,0.0145565,-0.0145581,-0.0145581,0.0865988,-0.00644248,0.0863844,0.0109835,0.00150947,0.00177561,0.00986079,0.00990891,0.0640756,0.0193252,0.0189111,0.00476246,0.00476354,2.45247E-07,2.45438E-07,0.00384452,0.00383312,5.48321E-22,3.1738E-23,3.41561E-12,8.21753E-13,0.213981,0.213981,-0.0165756
B,0,1000,0,1,0,0.214234,0.213267,0.0145573,0.0145573,-0.0145572,-0.0145572,0.0867043,-0.0064424,0.0862771,0.0109834,0.00150946,0.00177557,0.00986072,0.00990885,0.0640029,0.0193615,0.0189467,0.00476297,0.00476297,2.45205E-07,2.45478E-07,0.00384441,0.00383306,5.66653E-23,0,1.09802E-12,0,0.214234,0.214234,-0.0331465
A,0,1000,0,1,1,0.213981,0.213522,0.0145565,0.0145565,-0.0145581,-0.0145581,0.0865988,-0.00644248,0.0863844,0.0109835,0.00150947,0.00177561,0.00986079,0.00990891,0.0640756,0.0193252,0.0189111,0.00476246,0.00476354,2.45247E-07,2.45438E-07,0.00384452,0.00383312,5.48321E-22,3.1738E-23,3.41561E-12,8.21753E-13,0.213981,0.213981,-0.0165756
B,0,1000,0,1,1,0.214234,0.213267,0.0145573,0.0145573,-0.0145572,-0.0145572,0.0867043,-0.0064424,0.0862771,0.0109834,0.00150946,0.00177557,0.00986072,0.00990885,0.0640029,0.0193615,0.0189467,0.00476297,0.00476297,2.45205E-07,2.45478E-07,0.00384441,0.00383306,5.66653E-23,0,1.09802E-12,0,0.214234,0.214234,-0.0331465
A,0,1000,0,1,2,0.213981,0.213522,0.0145565,0.0145565,-0.0145581,-0.0145581,0.0865988,-0.00644248,0.0863844,0.0109835,0.00150947,0.00177561,0.00986079,0.00990891,0.0640756,0.0193252,0.0189111,0.00476246,0.00476354,2.45247E-07,2.45438E-07,0.00384452,0.00383312,1.94673E-26,3.17383E-23,2.03743E-14,8.21756E-13,0.213981,0.213981,-0.0165756
B,0,1000,0,1,2,0.214234,0.213267,0.0145573,0.0145573,-0.0145572,-0.0145572,0.0867043,-0.0064424,0.0862771,0.0109834,0.00150946,0.00177557,0.00986072,0.00990885,0.0640029,0.0193615,0.0189467,0.00476297,0.00476297,2.45205E-07,2.45478E-07,0.00384441,0.00383306,5.66656E-23,0,1.09802E-12,0,0.214234,0.214234,-0.0331465
A,0,1000,0,1,3,0.213981,0.213522,0.0145565,0.0145565,-0.0145581,-0.0145581,0.0865988,-0.00644248,0.0863844,0.0109835,0.00150947,0.00177561,0.00986079,0.00990891,0.0640756,0.0193252,0.0189111,0.00476246,0.00476354,2.45247E-07,2.45438E-07,0.00384452,0.00383312,5.48327E-22,1.97432E-26,3.41563E-12,2.04709E-14,0.213981,0.213981,-0.0165756
B,0,1000,0,1,3,0.214234,0.213267,0.0145573,0.0145573,-0.0145572,-0.0145572,0.0867043,-0.0064424,0.0862771,0.0109834,0.00150946,0.00177557,0.00986072,0.00990885,0.0640029,0.0193615,0.0189467,0.00476297,0.00476297,2.45205E-07,2.45478E-07,0.00384441,0.00383306,5.66655E-23,0,1.09802E-12,0,0.214234,0.214234,-0.0331465
A,0,1000,0,1,4,0.213981,0.213522,0.0145565,0.0145565,-0.0145581,-0.0145581,0.0865988,-0.00644248,0.0863844,0.0109835,0.00150947,0.00177561,0.00986079,0.00990891,0.0640756,0.0193252,0.0189111,0.00476246,0.00476354,2.45247E-07,2.45438E-07,0.00384452,0.00383312,5.48321E-22,3.1738E-23,3.41561E-12,8.21753E-13,0.213981,0.213981,-0.0165756
B,0,1000,0,1,4,0.214234,0.213267,0.0145573,0.0145573,-0.0145572,-0.0145572,0.0867043,-0.0064424,0.0862771,0.0109834,0.00150946,0.00177557,0.00986072,0.00990885,0.0640029,0.0193615,0.0189467,0.00476297,0.00476297,2.45205E-07,2.45478E-07,0.00384441,0.00383306,3.87659E-26,0,2.87206E-14,0,0.214234,0.214234,-0.0331465
A,0,1000,0.4243,1,0,0.21397,0.213513,0.0146044,0.0145084,-0.0145129,-0.0146034,0.0865981,-0.00643882,0.0863847,0.0109835,0.00150947,0.00177561,0.00986079,0.00990891,0.0640757,0.0193251,0.0189111,0.00476243,0.00476361,2.45257E-07,2.45452E-07,0.00384452,0.00383312,4.37332E-08,2.06855E-09,3.0504E-05,6.63414E-06,0.21397,0.21397,0.407598
B,0,1000,0.4243,1,0,0.214233,0.213267,0.0145609,0.0145537,-0.0145558,-0.0145586,0.0867039,-0.00643957,0.0862773,0.0109834,0.00150946,0.00177557,0.00986072,0.00990886,0.0640031,0.0193614,0.0189466,0.00476297,0.00476297,2.45209E-07,2.45484E-07,0.00384441,0.00383306,8.93945E-10,0,4.36121E-06,0,0.214233,0.214233,0.390904
A,0,1000,0.4243,1,1,0.21397,0.213513,0.0146044,0.0145084,-0.0145129,-0.0146034,0.0865981,-0.00643882,0.0863847,0.0109835,0.00150947,0.00177561,0.00986079,0.00990891,0.0640757,0.0193251,0.0189111,0.00476243,0.00476361,2.45257E-07,2.45452E-07,0.00384452,0.00383312,4.37332E-08,2.06855E-09,3.0504E-05,6.63414E-06,0.21397,0.21397,0.407598
B,0,1000,0.4243,1,1,0.214233,0.213267,0.0145609,0.0145537,-0.0145558,-0.0145586,0.0867039,-0.00643957,0.0862773,0.0109834,0.00150946,0.00177557,0.00986072,0.00990886,0.0640031,0.0193614,0.0189466,0.00476297,0.00476297,2.45209E-07,2.45484E-07,0.00384441,0.00383306,8.93945E-10,0,4.36121E-06,0,0.214233,0.214233,0.390904
A,0,1000,0.4243,1,2,0.213429,0.213004,0.0182565,0.0109241,-0.0109732,-0.0182108,0.0865814,-0.0063641,0.0863847,0.0109831,0.00150947,0.0017756,0.0098608,0.0099089,0.0640757,0.0193251,0.0189111,0.00492395,0.00492219,2.53268E-07,2.5333E-07,0.00384479,0.00383311,0.00125895,2.06522E-09,0.00517555,6.62879E-06,0.213363,0.213418,0.407429
B,0,1000,0.4243,1,2,0.214233,0.213267,0.0145609,0.0145537,-0.0145558,-0.0145586,0.0867038,-0.00643957,0.0862773,0.0109834,0.00150946,0.00177557,0.00986072,0.00990885,0.0640031,0.0193614,0.0189466,0.00476297,0.00476297,2.4521E-07,2.45483E-07,0.00384441,0.00383306,8.92505E-10,0,4.35769E-06,0,0.214233,0.214233,0.390739
A,0,1000,0.4243,1,3,0.213425,0.213002,0.0182704,0.0109106,-0.01096,-0.0182246,0.0865813,-0.00636381,0.0863847,0.010983,0.00150947,0.0017756,0.0098608,0.0099089,0.0640757,0.0193251,0.0189111,0.00492513,0.00492341,2.53326E-07,2.5339E-07,0.00384479,0.00383311,4.36625E-08,0.00125895,3.04793E-05,0.00517553,0.213359,0.213414,0.407428
B,0,1000,0.4243,1,3,0.214233,0.213267,0.0145609,0.0145537,-0.0145558,-0.0145586,0.0867038,-0.00643957,0.0862773,0.0109834,0.00150946,0.00177557,0.00986072,0.00990885,0.0640031,0.0193614,0.0189466,0.00476297,0.00476297,2.4521E-07,2.45483E-07,0.00384441,0.00383306,8.92499E-10,0,4.35768E-06,0,0.214233,0.214233,0.390737
A,0,1000,0.4243,1,4,0.21397,0.213513,0.0146044,0.0145084,-0.0145129,-0.0146034,0.086598,-0.00643882,0.0863847,0.0109835,0.00150947,0.00177561,0.0098608,0.00990891,0.0640757,0.0193251,0.0189111,0.00476243,0.0047636,2.45257E-07,2.45451E-07,0.00384452,0.00383312,4.36883E-08,2.06643E-09,3.04884E-05,6.63073E-06,0.21397,0.21397,0.407594
B,0,1000,0.4243,1,4,0.213692,0.21275,0.0182348,0.0109467,-0.0109938,-0.0181876,0.0866873,-0.00636447,0.0862774,0.0109829,0.00150946,0.00177557,0.00986072,0.00990885,0.0640031,0.0193614,0.0189467,0.00492271,0.00491949,2.53137E-07,2.53268E-07,0.00384468,0.00383306,0.00125817,0,0.00517393,0,0.213621,0.213685,0.390745
A,0,1000,1.4142,1,0,0.213863,0.213417,0.0147162,0.0143961,-0.0144075,-0.0147089,0.0865906,-0.00643027,0.0863872,0.0109834,0.00150946,0.00177561,0.00986078,0.00990888,0.0640772,0.019324,0.0189105,0.00476257,0.00476392,2.45369E-07,2.45571E-07,0.00384451,0.0038331,4.85637E-07,2.29703E-08,0.00010165,2.21073E-05,0.213863,0.213863,1.39711
B,0,1000,1.4142,1,0,0.214224,0.213263,0.0145692,0.0145451,-0.0145525,-0.0145616,0.0866985,-0.00643295,0.0862798,0.0109833,0.00150945,0.00177557,0.0098607,0.00990883,0.0640045,0.0193603,0.0189461,0.00476293,0.00476293,2.45261E-07,2.45534E-07,0.0038444,0.00383305,9.92685E-09,0,1.45331E-05,0,0.214224,0.214225,1.38011
A,0,1000,1.4142,1,1,0.213863,0.213417,0.0147162,0.0143961,-0.0144075,-0.0147089,0.0865906,-0.00643027,0.0863872,0.0109834,0.00150946,0.00177561,0.00986078,0.00990888,0.0640772,0.019324,0.0189105,0.00476257,0.00476392,2.45369E-07,2.45571E-07,0.00384451,0.0038331,4.85637E-07,2.29703E-08,0.00010165,2.21073E-05,0.213863,0.213863,1.39711
