warning, model type mismatch in line
    q121a nmiri nmiri nme1 ls350
warning, model type mismatch in line
    q121b nhi nmiri nme2 ls350

Note: No compatibility mode selected!


Circuit: tb_v2_casopeggiore.cir - v2 al jack, il caso peggiore col mute reale: ldr vtl5c4 v4 a monte e rele' al jack, guadagno, trim, dispersione, accensione (l29c, nc-028)

Warning: Model issue on line 122 :
  .model lsk489a njf(beta=2.2m betatce=-.5 rd=11 rs=30 lambda=4.3m vto=-1. ...
unrecognized parameter (isr) - ignored
unrecognized parameter (alpha) - ignored
unrecognized parameter (vk) - ignored
unrecognized parameter (mj) - ignored

 JFET models (Junction Field effect transistor)
      model               lsk489a

        vto                -2.976
       beta                0.0022

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

No. of Data Rows : 1
Doing analysis at TEMP = 27.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
vplus                                       15
vminus                                     -15
namp                                         0
nfrq                                      1000
nphs                                    1.5708
nten                                       0.3
src                                          0
sela                              -1.79534e-06
ntijk                                      7.5
ntrjk                                      8.5
ntgjk                                        1
nmhjk                                        1
sjkr                                         0
sjk                                          0
ntipre                                    1000
ntrpre                                    2000
ntgpre                                       1
nmhpre                                       1
sprer                                        0
spre                                         0
ntiser                                    1000
ntrser                                    2000
ntgser                                       1
nmhser                                       1
sserr                                        0
sser                                         0
ntisel                                    1000
ntrsel                                    2000
ntgsel                                       1
nmhsel                                       1
sselr                                        0
ssel                                         0
ina                               -1.79734e-06
inax                                 0.0199982
xa.nref                               -13.6698
xa.ncasc                               9.86816
xa.nx                                  1.02495
xa.nhi                                 13.7169
outa                                0.00450573
fba                                 0.00450573
xa.nrefm                              -14.3349
xa.d1n                                 9.18032
xa.g1                                0.0199982
xa.s1                                  1.92424
xa.d2n                                 9.18084
xa.g2                               0.00450573
xa.s2                                  1.91983
xa.src                                 1.69597
xa.nte                                -14.3751
xa.nmiri                               13.8066
xa.nme1                                14.5132
xa.nme2                                14.5129
xa.nve                                 14.3766
xa.ny                                -0.986315
xa.nvle                                -14.386
xa.nbb                               -0.272839
xa.nbn                                 1.02297
xa.nen                                  0.4553
xa.nbp                               -0.985438
xa.nep                               -0.446222
rga                                 0.00450571
rg10a                               0.00450572
w                                   0.00450568
f1in                                -0.0154943
xf1.nref                              -13.6698
xf1.ncasc                              9.86816
xf1.nx                                0.989375
xf1.nhi                                 13.717
outf1                               -0.0309831
fbf1                                 -0.030983
xf1.nrefm                             -14.3349
xf1.d1n                                9.18032
xf1.g1                              -0.0154943
xf1.s1                                 1.88883
xf1.d2n                                9.18084
xf1.g2                               -0.030983
xf1.s2                                 1.88442
xf1.src                                1.66056
xf1.nte                               -14.3751
xf1.nmiri                              13.8066
xf1.nme1                               14.5132
xf1.nme2                               14.5129
xf1.nve                                14.3767
xf1.ny                                -1.02188
xf1.nvle                               -14.386
xf1.nbb                              -0.308407
xf1.nbn                               0.987398
xf1.nen                               0.419766
xf1.nbp                                 -1.021
xf1.nep                              -0.481732
rgf1                                -0.0309829
rg10f1                               -0.030983
f2in                                 0.0245057
xf2.nref                              -13.6698
xf2.ncasc                              9.86816
xf2.nx                                 1.02942
xf2.nhi                                13.7169
outf2                               0.00901286
fbf2                                0.00901285
xf2.nrefm                             -14.3349
xf2.d1n                                9.18032
xf2.g1                               0.0245057
xf2.s1                                 1.92874
xf2.d2n                                9.18084
xf2.g2                              0.00901285
xf2.s2                                 1.92433
xf2.src                                1.70047
xf2.nte                               -14.3751
xf2.nmiri                              13.8066
xf2.nme1                               14.5132
xf2.nme2                               14.5129
xf2.nve                                14.3766
xf2.ny                               -0.981838
xf2.nvle                               -14.386
xf2.nbb                              -0.268362
xf2.nbn                                1.02745
xf2.nen                               0.459776
xf2.nbp                              -0.980961
xf2.nep                               -0.44175
rgf2                                0.00901282
rg10f2                              0.00901284
fix1                                -0.0309831
fixc1                                        0
fixjack1                                     0
fix2                                0.00901286
fixc2                                        0
fixjack2                                     0
wb                                   0.0245057
xb.nref                               -13.6698
xb.ncasc                               9.86816
xb.nx                                  1.04899
xb.nhi                                 13.7169
outb                                 0.0284028
fbb                                 0.00901088
xb.nrefm                              -14.3349
xb.d1n                                 9.18032
xb.g1                                0.0245057
xb.s1                                  1.92874
xb.d2n                                 9.18084
xb.g2                               0.00901088
xb.s2                                  1.92432
xb.src                                 1.70047
xb.nte                                -14.3751
xb.nmiri                               13.8066
xb.nme1                                14.5132
xb.nme2                                14.5129
xb.nve                                 14.3766
xb.ny                                -0.962272
xb.nvle                                -14.386
xb.nbb                               -0.248795
xb.nbn                                 1.04701
xb.nen                                0.479314
xb.nbp                               -0.961396
xb.nep                               -0.422224
rgb                                2.52398e-07
rg10b                               1.0404e-06
