blk,modo_db,f_hz,vin_pk,k_att,caso,p_q132,p_q133,icmax_q132,icmin_q132,icmax_q133,icmin_q133,p_q122,icmax_q122,p_q125,p_q127,p_q121a,p_q121b,p_q117,p_q118,p_q106,p_jq110a,p_jq110b,p_r134,p_r135,p_r130,p_r131,p_r123,p_r126,p_rsep,p_rsep2,irms_rsep,irms_rsep2,p_q132_w1,p_q132_w2,voutpk,p_rail
A,0,1000,0,1,0,0.213981,0.213522,0.0145565,0.0145565,-0.0145581,-0.0145581,0.0865987,-0.00644248,0.0863844,0.0109835,0.00150947,0.00177561,0.00986079,0.00990891,0.0640756,0.0193252,0.0189111,0.00476244,0.00476355,2.45247E-07,2.45439E-07,0.00384452,0.00383312,0,0,0,0,0.213981,0.213981,-0.0165756,3.22485
F1,0,1000,0,1,0,0.214234,0.213267,0.0145573,0.0145573,-0.0145572,-0.0145572,0.0867043,-0.0064424,0.0862771,0.0109834,0.00150946,0.00177557,0.00986072,0.00990885,0.0640029,0.0193615,0.0189467,0.00476297,0.00476297,2.45205E-07,2.45478E-07,0.00384441,0.00383306,2.22698E-21,0,6.8835E-12,0,0.214234,0.214234,-0.0331465,3.22485
F2,0,1000,0,1,0,0.214234,0.213267,0.0145573,0.0145573,-0.0145572,-0.0145572,0.0867043,-0.0064424,0.0862771,0.0109834,0.00150946,0.00177557,0.00986072,0.00990885,0.0640029,0.0193615,0.0189467,0.00476297,0.00476297,2.45205E-07,2.45478E-07,0.00384441,0.00383306,1.28537E-22,0,1.65373E-12,0,0.214234,0.214234,-0.0331465,3.22485
B,0,1000,0,1,0,0.214234,0.213267,0.0145573,0.0145573,-0.0145572,-0.0145572,0.0867043,-0.0064424,0.0862771,0.0109834,0.00150946,0.00177557,0.00986072,0.00990885,0.0640029,0.0193615,0.0189467,0.00476297,0.00476297,2.45205E-07,2.45478E-07,0.00384441,0.00383306,5.65124E-23,0,1.09654E-12,0,0.214234,0.214234,-0.0331465,3.22485
A,0,1000,0,1,1,0.213981,0.213522,0.0145565,0.0145565,-0.0145581,-0.0145581,0.0865987,-0.00644248,0.0863844,0.0109835,0.00150947,0.00177561,0.00986079,0.00990891,0.0640756,0.0193252,0.0189111,0.00476244,0.00476355,2.45247E-07,2.45439E-07,0.00384452,0.00383312,0,0,0,0,0.213981,0.213981,-0.0165756,3.22485
F1,0,1000,0,1,1,0.214234,0.213267,0.0145573,0.0145573,-0.0145572,-0.0145572,0.0867043,-0.0064424,0.0862771,0.0109834,0.00150946,0.00177557,0.00986072,0.00990885,0.0640029,0.0193615,0.0189467,0.00476297,0.00476297,2.45205E-07,2.45478E-07,0.00384441,0.00383306,3.52204E-26,0,2.74217E-14,0,0.214234,0.214234,-0.0331465,3.22485
F2,0,1000,0,1,1,0.214234,0.213267,0.0145573,0.0145573,-0.0145572,-0.0145572,0.0867043,-0.0064424,0.0862771,0.0109834,0.00150946,0.00177557,0.00986072,0.00990885,0.0640029,0.0193615,0.0189467,0.00476297,0.00476297,2.45205E-07,2.45478E-07,0.00384441,0.00383306,3.45635E-26,0,2.70241E-14,0,0.214234,0.214234,-0.0331465,3.22485
B,0,1000,0,1,1,0.214234,0.213267,0.0145573,0.0145573,-0.0145572,-0.0145572,0.0867043,-0.0064424,0.0862771,0.0109834,0.00150946,0.00177557,0.00986072,0.00990885,0.0640029,0.0193615,0.0189467,0.00476297,0.00476297,2.45205E-07,2.45478E-07,0.00384441,0.00383306,3.59032E-26,0,2.76248E-14,0,0.214234,0.214234,-0.0331465,3.22485
A,0,1000,0,1,2,0.213981,0.213522,0.0145565,0.0145565,-0.0145581,-0.0145581,0.0865987,-0.00644248,0.0863844,0.0109835,0.00150947,0.00177561,0.00986079,0.00990891,0.0640756,0.0193252,0.0189111,0.00476244,0.00476355,2.45247E-07,2.45439E-07,0.00384452,0.00383312,0,0,0,0,0.213981,0.213981,-0.0165756,3.22485
F1,0,1000,0,1,2,0.214234,0.213267,0.0145573,0.0145573,-0.0145572,-0.0145572,0.0867043,-0.0064424,0.0862771,0.0109834,0.00150946,0.00177557,0.00986072,0.00990885,0.0640029,0.0193615,0.0189467,0.00476297,0.00476297,2.45205E-07,2.45478E-07,0.00384441,0.00383306,3.79489E-26,0,2.8404E-14,0,0.214234,0.214234,-0.0331465,3.22485
