col0,col1,col2,col3
10.0,-0.00253932716,10.0,-0.0383333787
10.2329299,-0.00253929902,10.2329299,-0.0372441209
10.4712855,-0.00253926982,10.4712855,-0.0362036281
10.7151931,-0.00253923952,10.7151931,-0.0352097275
10.964782,-0.00253920809,10.964782,-0.0342603426
11.2201845,-0.0025391755,11.2201845,-0.033353488
11.4815362,-0.00253914171,11.4815362,-0.0324872666
11.7489755,-0.00253910672,11.7489755,-0.0316598648
12.0226443,-0.00253907047,12.0226443,-0.0308695494
12.3026877,-0.00253903296,12.3026877,-0.030114664
12.5892541,-0.00253899415,12.5892541,-0.0293936256
12.8824955,-0.00253895401,12.8824955,-0.0287049214
13.1825674,-0.00253891253,13.1825674,-0.0280471057
13.4896288,-0.00253886967,13.4896288,-0.0274187972
13.8038426,-0.00253882542,13.8038426,-0.0268186757
14.1253754,-0.00253877977,14.1253754,-0.0262454799
14.4543977,-0.00253873268,14.4543977,-0.0256980046
14.7910839,-0.00253868414,14.7910839,-0.0251750982
15.1356125,-0.00253863415,15.1356125,-0.0246756604
15.4881662,-0.00253858268,15.4881662,-0.0241986399
15.8489319,-0.00253852973,15.8489319,-0.0237430325
16.218101,-0.0025384753,16.218101,-0.0233078784
16.5958691,-0.00253841938,16.5958691,-0.0228922609
16.9824365,-0.00253836196,16.9824365,-0.0224953042
17.3780083,-0.00253830306,17.3780083,-0.0221161715
17.7827941,-0.00253824268,17.7827941,-0.0217540634
18.1970086,-0.00253818082,18.1970086,-0.0214082163
18.6208714,-0.00253811751,18.6208714,-0.0210779007
19.0546072,-0.00253805276,19.0546072,-0.0207624198
19.498446,-0.00253798659,19.498446,-0.0204611077
19.9526231,-0.00253791902,19.9526231,-0.0201733288
20.4173794,-0.00253785009,20.4173794,-0.0198984754
20.8929613,-0.00253777983,20.8929613,-0.0196359674
21.3796209,-0.00253770828,21.3796209,-0.0193852504
21.8776162,-0.00253763547,21.8776162,-0.0191457952
22.3872114,-0.00253756146,22.3872114,-0.0189170959
22.9086765,-0.00253748629,22.9086765,-0.0186986696
23.4422882,-0.00253741002,23.4422882,-0.0184900549
23.9883292,-0.0025373327,23.9883292,-0.0182908112
24.5470892,-0.00253725441,24.5470892,-0.0181005174
25.1188643,-0.0025371752,25.1188643,-0.0179187716
25.7039578,-0.00253709515,25.7039578,-0.0177451898
26.3026799,-0.00253701432,26.3026799,-0.0175794053
26.915348,-0.00253693279,26.915348,-0.0174210677
27.542287,-0.00253685064,27.542287,-0.0172698425
28.1838293,-0.00253676795,28.1838293,-0.0171254102
28.840315,-0.00253668481,28.840315,-0.0169874656
29.5120923,-0.0025366013,29.5120923,-0.0168557173
30.1995172,-0.0025365175,30.1995172,-0.0167298868
30.9029543,-0.00253643351,30.9029543,-0.0166097082
31.6227766,-0.00253634941,31.6227766,-0.0164949278
32.3593657,-0.00253626529,32.3593657,-0.0163853028
33.1131121,-0.00253618124,33.1131121,-0.0162806018
33.8844156,-0.00253609734,33.8844156,-0.0161806035
34.673685,-0.0025360137,34.673685,-0.0160850967
35.4813389,-0.00253593039,35.4813389,-0.0159938796
36.3078055,-0.0025358475,36.3078055,-0.0159067595
37.1535229,-0.00253576511,37.1535229,-0.0158235523
38.0189396,-0.00253568331,38.0189396,-0.0157440824
38.9045145,-0.00253560217,38.9045145,-0.0156681818
39.8107171,-0.00253552177,39.8107171,-0.0155956903
40.7380278,-0.00253544219,40.7380278,-0.0155264547
41.6869383,-0.00253536349,41.6869383,-0.0154603288
42.6579519,-0.00253528575,42.6579519,-0.0153971729
43.6515832,-0.00253520902,43.6515832,-0.0153368537
44.6683592,-0.00253513337,44.6683592,-0.0152792438
