col0,col1,col2,col3
1.0,72.4089547,1.0,179.708108
1.02329299,72.4088159,1.02329299,179.703176
1.04712855,72.4086808,1.04712855,179.69812
1.07151931,72.4085494,1.07151931,179.692933
1.0964782,72.4084217,1.0964782,179.687613
1.12201845,72.4082976,1.12201845,179.682155
1.14815362,72.408177,1.14815362,179.676555
1.17489755,72.4080599,1.17489755,179.670809
1.20226443,72.4079463,1.20226443,179.664912
1.23026877,72.407836,1.23026877,179.658861
1.25892541,72.4077291,1.25892541,179.65265
1.28824955,72.4076253,1.28824955,179.646276
1.31825674,72.4075247,1.31825674,179.639735
1.34896288,72.4074272,1.34896288,179.633021
1.38038426,72.4073326,1.38038426,179.62613
1.41253754,72.407241,1.41253754,179.619058
1.44543977,72.4071522,1.44543977,179.6118
1.47910839,72.407066,1.47910839,179.604351
1.51356125,72.4069826,1.51356125,179.596707
1.54881662,72.4069016,1.54881662,179.588862
1.58489319,72.4068231,1.58489319,179.580812
1.6218101,72.406747,1.6218101,179.572552
1.65958691,72.4066731,1.65958691,179.564077
1.69824365,72.4066014,1.69824365,179.555381
1.73780083,72.4065318,1.73780083,179.54646
1.77827941,72.4064642,1.77827941,179.537308
1.81970086,72.4063985,1.81970086,179.527919
1.86208714,72.4063345,1.86208714,179.518288
1.90546072,72.4062723,1.90546072,179.508411
1.9498446,72.4062117,1.9498446,179.498279
1.99526231,72.4061526,1.99526231,179.487889
2.04173794,72.406095,2.04173794,179.477234
2.08929613,72.4060387,2.08929613,179.466308
2.13796209,72.4059836,2.13796209,179.455105
2.18776162,72.4059298,2.18776162,179.443619
2.23872114,72.4058769,2.23872114,179.431842
2.29086765,72.4058251,2.29086765,179.419769
2.34422882,72.4057742,2.34422882,179.407393
2.39883292,72.405724,2.39883292,179.394707
2.45470892,72.4056746,2.45470892,179.381703
2.51188643,72.4056258,2.51188643,179.368376
2.57039578,72.4055775,2.57039578,179.354717
2.63026799,72.4055297,2.63026799,179.340719
2.6915348,72.4054822,2.6915348,179.326375
2.7542287,72.405435,2.7542287,179.311676
2.81838293,72.405388,2.81838293,179.296614
2.8840315,72.405341,2.8840315,179.281182
2.95120923,72.4052941,2.95120923,179.265371
3.01995172,72.405247,3.01995172,179.249173
3.09029543,72.4051998,3.09029543,179.232578
3.16227766,72.4051522,3.16227766,179.215578
3.23593657,72.4051043,3.23593657,179.198163
3.31131121,72.4050559,3.31131121,179.180325
3.38844156,72.4050069,3.38844156,179.162053
3.4673685,72.4049573,3.4673685,179.143338
3.54813389,72.4049068,3.54813389,179.12417
3.63078055,72.4048555,3.63078055,179.104538
3.71535229,72.4048032,3.71535229,179.084433
3.80189396,72.4047497,3.80189396,179.063842
3.89045145,72.4046951,3.89045145,179.042756
3.98107171,72.4046391,3.98107171,179.021162
4.07380278,72.4045817,4.07380278,178.999049
4.16869383,72.4045227,4.16869383,178.976406
4.26579519,72.404462,4.26579519,178.953221
4.36515832,72.4043995,4.36515832,178.92948
4.46683592,72.404335,4.46683592,178.905171
4.5708819,72.4042684,4.5708819,178.880282
4.67735141,72.4041995,4.67735141,178.854798
4.78630092,72.4041283,4.78630092,178.828707
4.89778819,72.4040545,4.89778819,178.801994
5.01187234,72.403978,5.01187234,178.774645
5.12861384,72.4038986,5.12861384,178.746646
5.2480746,72.4038162,5.2480746,178.717981
5.37031796,72.4037305,5.37031796,178.688635
5.49540874,72.4036414,5.49540874,178.658593
5.62341325,72.4035486,5.62341325,178.627838
5.75439937,72.4034521,5.75439937,178.596354
5.88843655,72.4033515,5.88843655,178.564124
6.02559586,72.4032466,6.02559586,178.531131
6.16595002,72.4031372,6.16595002,178.497357
6.30957344,72.403023,6.30957344,178.462784
6.45654229,72.4029039,6.45654229,178.427394
6.60693448,72.4027795,6.60693448,178.391168
6.76082975,72.4026495,6.76082975,178.354086
6.91830971,72.4025137,6.91830971,178.316129
7.07945784,72.4023717,7.07945784,178.277276
7.2443596,72.4022232,7.2443596,178.237506
7.41310241,72.4020679,7.41310241,178.196798
7.58577575,72.4019054,7.58577575,178.15513
7.76247117,72.4017354,7.76247117,178.11248
7.94328235,72.4015574,7.94328235,178.068826
8.12830516,72.401371,8.12830516,178.024143
8.31763771,72.4011758,8.31763771,177.978407
8.51138038,72.4009714,8.51138038,177.931595
8.7096359,72.4007573,8.7096359,177.883681
8.91250938,72.4005329,8.91250938,177.834639
9.12010839,72.4002978,9.12010839,177.784444
9.33254301,72.4000514,9.33254301,177.733067
9.54992586,72.399793,9.54992586,177.680482
9.77237221,72.3995222,9.77237221,177.626661
10.0,72.3992382,10.0,177.571574
10.2329299,72.3989404,10.2329299,177.515191
10.4712855,72.398628,10.4712855,177.457484
10.7151931,72.3983003,10.7151931,177.39842
10.964782,72.3979565,10.964782,177.337968
11.2201845,72.3975958,11.2201845,177.276096
11.4815362,72.3972173,11.4815362,177.21277
11.7489755,72.3968201,11.7489755,177.147957
12.0226443,72.3964031,12.0226443,177.081622
12.3026877,72.3959655,12.3026877,177.013728
12.5892541,72.3955061,12.5892541,176.944241
12.8824955,72.3950238,12.8824955,176.873122
13.1825674,72.3945174,13.1825674,176.800334
13.4896288,72.3939856,13.4896288,176.725838
13.8038426,72.3934271,13.8038426,176.649593
14.1253754,72.3928406,14.1253754,176.57156
14.4543977,72.3922246,14.4543977,176.491697
14.7910839,72.3915776,14.7910839,176.409961
15.1356125,72.3908978,15.1356125,176.326309
15.4881662,72.3901838,15.4881662,176.240697
15.8489319,72.3894335,15.8489319,176.153078
16.218101,72.3886453,16.218101,176.063408
16.5958691,72.3878171,16.5958691,175.971638
16.9824365,72.3869469,16.9824365,175.87772
17.3780083,72.3860324,17.3780083,175.781605
17.7827941,72.3850714,17.7827941,175.683242
18.1970086,72.3840615,18.1970086,175.58258
18.6208714,72.3830002,18.6208714,175.479566
19.0546072,72.3818848,19.0546072,175.374148
19.498446,72.3807125,19.498446,175.266269
19.9526231,72.3794805,19.9526231,175.155875
20.4173794,72.3781857,20.4173794,175.042909
20.8929613,72.3768249,20.8929613,174.927312
21.3796209,72.3753948,21.3796209,174.809026
21.8776162,72.3738917,21.8776162,174.687991
22.3872114,72.3723121,22.3872114,174.564145
22.9086765,72.3706521,22.9086765,174.437425
23.4422882,72.3689077,23.4422882,174.307769
23.9883292,72.3670746,23.9883292,174.17511
24.5470892,72.3651484,24.5470892,174.039385
25.1188643,72.3631246,25.1188643,173.900525
25.7039578,72.3609982,25.7039578,173.758462
26.3026799,72.3587643,26.3026799,173.613127
26.915348,72.3564176,26.915348,173.46445
27.542287,72.3539525,27.542287,173.312358
28.1838293,72.3513634,28.1838293,173.15678
28.840315,72.3486442,28.840315,172.997641
29.5120923,72.3457888,29.5120923,172.834865
30.1995172,72.3427905,30.1995172,172.668378
30.9029543,72.3396425,30.9029543,172.498101
31.6227766,72.3363378,31.6227766,172.323957
32.3593657,72.332869,32.3593657,172.145865
33.1131121,72.3292284,33.1131121,171.963745
33.8844156,72.3254079,33.8844156,171.777515
34.673685,72.3213992,34.673685,171.587093
