modo,s,nome,t,target,code,i_meas,err_db,i(vls),i(vlp),v(mir_e2_s),v(ldr_s_a),v(mir_e2_p),v(ldr_p_a)
comp,S,d0,15,0.02,3226,0.01400704240484,-3.0936710446178832,0.01400704240484,1.033139874908e-08,4.858537412041,3.367915552862,4.999999895702,1.825402545166
comp,S,d0.1,15,0.0002,2595,0.0002016770510832,0.07252973615550486,0.0002016770510832,1.033139902072e-08,4.997963347772,2.808666551651,4.999999895702,1.82540254779
comp,S,d0.45,15,4.5e-06,2074,4.582099275725e-06,0.15703961201241273,4.582099275725e-06,1.033139883405e-08,4.99995372941,2.430805326413,4.999999895702,1.825402545995
comp,S,d0.75,15,1.9e-07,1640,1.949248910598e-07,0.22227398440332338,1.949248910598e-07,1.033139883405e-08,4.999998031715,2.11716750768,4.999999895702,1.825402545995
comp,S,riposo,15,1e-08,1236,1.033140012995e-08,0.2831836375677984,1.033140012995e-08,1.033140035871e-08,4.999999895702,1.825402558422,4.999999895702,1.825402560619
comp,P,riposo,15,1e-08,1236,1.033140035871e-08,0.2831838298925622,1.033140012995e-08,1.033140035871e-08,4.999999895702,1.825402558422,4.999999895702,1.825402560619
comp,P,d0.75,15,1.414214e-05,2231,1.435476104618e-05,0.1296167053528471,1.033140012995e-08,1.435476104618e-05,4.999999895702,1.825402558422,4.999855041899,2.54432282852
comp,P,d1,15,0.02,3226,0.01400704240484,-3.0936710446178832,1.033140037059e-08,0.01400704240484,4.999999895702,1.825402560733,4.858537412041,3.367915552862
comp,S,cal_2mA,15,0.002,2910,0.001904787005156,-0.42367152204510017,0.001904787005156,1.033139821687e-08,4.980763766118,3.048724042606,4.999999895702,1.825402540088
comp,P,cal_2mA,15,0.002,2910,0.001904787005155,-0.4236715220496596,1.033140004576e-08,0.001904787005155,4.999999895702,1.825402557615,4.980763766118,3.048724042606
nocomp,S,d0,15,0.02,3252,0.01607445380671,-1.897875413873134,0.01607445380671,7.506882940351e-09,4.837656835906,3.402263617447,4.999999924223,1.793678954556
