cella,variante,f_hz,amp,gm,rl,grandezza,uscita,picco_V,t_picco_s,finestra_s,esito,nota
gm0x10_lz_N_i,l29d_N,1000,0,0a10,100k,A_ins,MAINJACK,4.142e-09,2.362292,2.000,sotto,riferimento g0sempre_lz_N
gm0x10_lz_N_i,l29d_N,1000,0,0a10,100k,A_rel,MAINJACK,0.0001114,8.000031,2.000,SOPRA,riferimento g0mai_lz_N
gm0x10_lz_N_i,l29d_N,1000,0,0a10,100k,B2,MAINJACK,3.118e-09,7.520000,,sotto,mute da t_ins+t_grad+20 ms a t_rel
gm0x10_lz_N_i,l29d_N,1000,0,0a10,100k,A_ins,FIXJACK1,4.145e-09,2.362292,2.000,sotto,riferimento g0sempre_lz_N
gm0x10_lz_N_i,l29d_N,1000,0,0a10,100k,A_rel,FIXJACK1,1.339e-10,8.000312,2.000,sotto,riferimento g0mai_lz_N
gm0x10_lz_N_i,l29d_N,1000,0,0a10,100k,B2,FIXJACK1,7.578e-09,7.520000,,sotto,mute da t_ins+t_grad+20 ms a t_rel
gm0x10_lz_N_i,l29d_N,1000,0,0a10,100k,A_ins,FIXJACK2,4.145e-09,2.362312,2.000,sotto,riferimento g0sempre_lz_N
gm0x10_lz_N_i,l29d_N,1000,0,0a10,100k,A_rel,FIXJACK2,1.377e-10,8.000312,2.000,sotto,riferimento g0mai_lz_N
gm0x10_lz_N_i,l29d_N,1000,0,0a10,100k,B2,FIXJACK2,7.578e-09,7.520000,,sotto,mute da t_ins+t_grad+20 ms a t_rel
gm0x10_lz_N_c,l29d_N,1000,0,0a10,100k,A_ins,MAINJACK,0.0001114,8.000031,2.000,SOPRA,riferimento g10sempre_lz_N
gm0x10_lz_N_c,l29d_N,1000,0,0a10,100k,A_rel,MAINJACK,3.193e-08,11.323250,2.000,sotto,riferimento g10mai_lz_N
gm0x10_lz_N_c,l29d_N,1000,0,0a10,100k,B2,MAINJACK,3.675e-07,8.027052,,sotto,mute da t_ins+t_grad+20 ms a t_rel
gm0x10_lz_N_c,l29d_N,1000,0,0a10,100k,A_ins,FIXJACK1,1.363e-10,8.000312,2.000,sotto,riferimento g10sempre_lz_N
gm0x10_lz_N_c,l29d_N,1000,0,0a10,100k,A_rel,FIXJACK1,1.012e-08,11.323323,2.000,sotto,riferimento g10mai_lz_N
gm0x10_lz_N_c,l29d_N,1000,0,0a10,100k,B2,FIXJACK1,5.553e-14,8.027708,,sotto,mute da t_ins+t_grad+20 ms a t_rel
gm0x10_lz_N_c,l29d_N,1000,0,0a10,100k,A_ins,FIXJACK2,1.363e-10,8.000312,2.000,sotto,riferimento g10sempre_lz_N
gm0x10_lz_N_c,l29d_N,1000,0,0a10,100k,A_rel,FIXJACK2,1.012e-08,11.323313,2.000,sotto,riferimento g10mai_lz_N
gm0x10_lz_N_c,l29d_N,1000,0,0a10,100k,B2,FIXJACK2,5.827e-14,8.028219,,sotto,mute da t_ins+t_grad+20 ms a t_rel
