cella,file,variante,f_hz,amp,gm,rl,t_ins,t_rel,t_fine,tmax,tipo,rif_ins,rif_rel,t_grad,gruppo,conta
mai_1k_100k,mai_1k_100k.dat,rif,1000,3.818,10,100k,1.0,8.5,17.5,1e-05,rif_mai,-,-,0.0,0,
sempre_1k_100k,sempre_1k_100k.dat,rif,1000,3.818,10,100k,1.0,8.5,17.5,1e-05,rif_sempre,-,-,0.0,0,
ev_1k_100k,ev_1k_100k.dat,ldr_v4_td6,1000,3.818,10,100k,1.0,8.5,17.5,1e-05,evento,sempre_1k_100k,mai_1k_100k,6.5,0,
norele_1k_100k,norele_1k_100k.dat,rif,1000,3.818,10,100k,1.0,8.5,17.5,1e-05,rif_seq,-,-,0.0,0,
rele_1k_100k,ev_1k_100k.dat,rele_contro_norele,1000,3.818,10,100k,7.5,8.5,17.5,1e-05,evento,norele_1k_100k,norele_1k_100k,0.0,0,
inv_1k_100k,inv_1k_100k.dat,inversione_d75,1000,3.818,10,100k,1.0,5.5,13.0,1e-05,evento,sempre_1k_100k,mai_1k_100k,4.5,0,
pav_ev0_1k_100k,evp_1k_100k.dat,pavimento,1000,3.818,10,100k,1.0,1000,17.5,7e-06,pav_num,ev_1k_100k,-,0.0,0,
pav_ev1_1k_100k,evp_1k_100k.dat,pavimento,1000,3.818,10,100k,7.5,1000,17.5,7e-06,pav_num,ev_1k_100k,-,0.0,0,
pav_ev2_1k_100k,evp_1k_100k.dat,pavimento,1000,3.818,10,100k,8.5,1000,17.5,7e-06,pav_num,ev_1k_100k,-,0.0,0,
pav_inv_1k_100k,invp_1k_100k.dat,pavimento,1000,3.818,10,100k,5.5,1000,13.0,7e-06,pav_num,inv_1k_100k,-,0.0,0,
lzmai_100k,lzmai_100k.dat,rif,1000,0,10,100k,1.0,8.5,17.5,1e-05,rif_mai,-,-,0.0,0,
lzsempre_100k,lzsempre_100k.dat,rif,1000,0,10,100k,1.0,8.5,17.5,1e-05,rif_sempre,-,-,0.0,0,
lzev_100k,lzev_100k.dat,ldr_v4_td6,1000,0,10,100k,1.0,8.5,17.5,1e-05,evento,lzsempre_100k,lzmai_100k,6.5,0,
lzinv_100k,lzinv_100k.dat,inversione_d75,1000,0,10,100k,1.0,5.5,13.0,1e-05,evento,lzsempre_100k,lzmai_100k,4.5,0,
