col0,col1,col2,col3
20.0,1.28484824e-08,20.0,1.08305859e-08
20.4658598,1.28351063e-08,20.4658598,1.08191631e-08
20.942571,1.28220435e-08,20.942571,1.08080114e-08
21.4303861,1.28092866e-08,21.4303861,1.07971241e-08
21.9295639,1.27968283e-08,21.9295639,1.07864947e-08
22.4403691,1.27846613e-08,22.4403691,1.0776117e-08
22.9630724,1.27727788e-08,22.9630724,1.07659847e-08
23.4979511,1.27611741e-08,23.4979511,1.0756092e-08
24.0452887,1.27498404e-08,24.0452887,1.0746433e-08
24.6053754,1.27387713e-08,24.6053754,1.07370019e-08
25.1785082,1.27279606e-08,25.1785082,1.07277934e-08
25.764991,1.27174022e-08,25.764991,1.07188019e-08
26.3651348,1.27070899e-08,26.3651348,1.07100223e-08
26.9792577,1.2697018e-08,26.9792577,1.07014493e-08
27.6076853,1.26871808e-08,27.6076853,1.06930781e-08
28.2507509,1.26775726e-08,28.2507509,1.06849036e-08
28.9087954,1.26681882e-08,28.9087954,1.06769213e-08
29.5821678,1.26590222e-08,29.5821678,1.06691263e-08
30.271225,1.26500694e-08,30.271225,1.06615143e-08
30.9763324,1.26413247e-08,30.9763324,1.06540809e-08
31.6978638,1.26327833e-08,31.6978638,1.06468217e-08
32.4362019,1.26244404e-08,32.4362019,1.06397325e-08
33.1917381,1.26162912e-08,33.1917381,1.06328094e-08
33.964873,1.26083313e-08,33.964873,1.06260482e-08
34.7560166,1.26005561e-08,34.7560166,1.06194451e-08
35.5655882,1.25929612e-08,35.5655882,1.06129965e-08
36.3940172,1.25855425e-08,36.3940172,1.06066984e-08
37.2417427,1.25782958e-08,37.2417427,1.06005474e-08
38.1092144,1.25712171e-08,38.1092144,1.059454e-08
38.996892,1.25643023e-08,38.996892,1.05886727e-08
39.9052463,1.25575477e-08,39.9052463,1.05829422e-08
40.8347589,1.25509495e-08,40.8347589,1.05773452e-08
41.7859226,1.2544504e-08,41.7859226,1.05718787e-08
42.7592418,1.25382076e-08,42.7592418,1.05665393e-08
43.7552325,1.25320569e-08,43.7552325,1.05613243e-08
44.7744228,1.25260483e-08,44.7744228,1.05562305e-08
45.8173531,1.25201787e-08,45.8173531,1.05512551e-08
46.8845763,1.25144447e-08,46.8845763,1.05463954e-08
47.9766584,1.25088432e-08,47.9766584,1.05416486e-08
49.0941783,1.2503371e-08,49.0941783,1.0537012e-08
50.2377286,1.24980252e-08,50.2377286,1.0532483e-08
51.4079157,1.24928027e-08,51.4079157,1.05280591e-08
52.6053598,1.24877008e-08,52.6053598,1.05237378e-08
53.8306961,1.24827166e-08,53.8306961,1.05195167e-08
55.0845741,1.24778473e-08,55.0845741,1.05153934e-08
56.3676586,1.24730903e-08,56.3676586,1.05113656e-08
57.6806301,1.24684429e-08,57.6806301,1.05074311e-08
59.0241845,1.24639027e-08,59.0241845,1.05035877e-08
60.3990344,1.2459467e-08,60.3990344,1.04998332e-08
61.8059087,1.24551335e-08,61.8059087,1.04961656e-08
63.2455532,1.24508998e-08,63.2455532,1.04925828e-08
64.7187314,1.24467636e-08,64.7187314,1.04890828e-08
66.2262243,1.24427226e-08,66.2262243,1.04856636e-08
67.7688312,1.24387746e-08,67.7688312,1.04823235e-08
69.3473701,1.24349174e-08,69.3473701,1.04790605e-08
70.9626778,1.24311489e-08,70.9626778,1.04758729e-08
72.615611,1.24274671e-08,72.615611,1.04727588e-08
74.3070458,1.24238699e-08,74.3070458,1.04697166e-08
76.0378793,1.24203554e-08,76.0378793,1.04667445e-08
77.809029,1.24169217e-08,77.809029,1.0463841e-08
79.6214341,1.24135669e-08,79.6214341,1.04610045e-08
81.4760556,1.24102892e-08,81.4760556,1.04582333e-08
83.3738767,1.24070867e-08,83.3738767,1.04555259e-08
85.3159038,1.24039578e-08,85.3159038,1.0452881e-08
87.3031664,1.24009008e-08,87.3031664,1.04502969e-08
89.3367184,1.23979139e-08,89.3367184,1.04477724e-08
91.4176379,1.23949955e-08,91.4176379,1.04453059e-08
93.5470283,1.23921442e-08,93.5470283,1.04428962e-08
95.7260185,1.23893582e-08,95.7260185,1.0440542e-08
97.9557639,1.23866362e-08,97.9557639,1.04382419e-08
100.237447,1.23839766e-08,100.237447,1.04359947e-08
102.572277,1.2381378e-08,102.572277,1.04337992e-08
104.961492,1.2378839e-08,104.961492,1.04316541e-08
107.406359,1.23763581e-08,107.406359,1.04295583e-08
109.908175,1.23739342e-08,109.908175,1.04275107e-08
112.468265,1.23715658e-08,112.468265,1.04255102e-08
115.087987,1.23692517e-08,115.087987,1.04235555e-08
117.768731,1.23669905e-08,117.768731,1.04216458e-08
120.511917,1.23647812e-08,120.511917,1.04197799e-08
123.319,1.23626225e-08,123.319,1.04179569e-08
126.191469,1.23605133e-08,126.191469,1.04161756e-08
129.130846,1.23584523e-08,129.130846,1.04144353e-08
132.13869,1.23564385e-08,132.13869,1.04127349e-08
135.216595,1.23544708e-08,135.216595,1.04110735e-08
138.366194,1.23525482e-08,138.366194,1.04094502e-08
141.589157,1.23506696e-08,141.589157,1.04078641e-08
144.887192,1.23488339e-08,144.887192,1.04063144e-08
148.262048,1.23470403e-08,148.262048,1.04048002e-08
151.715515,1.23452877e-08,151.715515,1.04033207e-08
155.249423,1.23435752e-08,155.249423,1.04018751e-08
158.865647,1.23419019e-08,158.865647,1.04004626e-08
162.566103,1.23402668e-08,162.566103,1.03990825e-08
166.352754,1.23386692e-08,166.352754,1.0397734e-08
170.227608,1.2337108e-08,170.227608,1.03964164e-08
174.192718,1.23355826e-08,174.192718,1.0395129e-08
178.250188,1.2334092e-08,178.250188,1.0393871e-08
182.402168,1.23326355e-08,182.402168,1.03926419e-08
186.65086,1.23312124e-08,186.65086,1.03914409e-08
190.998517,1.23298217e-08,190.998517,1.03902673e-08
195.447444,1.23284628e-08,195.447444,1.03891206e-08
200.0,1.2327135e-08,200.0,1.03880002e-08
204.658598,1.23258375e-08,204.658598,1.03869054e-08
209.42571,1.23245696e-08,209.42571,1.03858357e-08
214.303861,1.23233308e-08,214.303861,1.03847904e-08
219.295639,1.23221202e-08,219.295639,1.0383769e-08
224.403691,1.23209373e-08,224.403691,1.0382771e-08
229.630724,1.23197814e-08,229.630724,1.03817958e-08
234.979511,1.23186518e-08,234.979511,1.03808429e-08
240.452887,1.23175481e-08,240.452887,1.03799118e-08
246.053754,1.23164696e-08,246.053754,1.0379002e-08
251.785082,1.23154157e-08,251.785082,1.03781129e-08
257.64991,1.23143859e-08,257.64991,1.03772442e-08
263.651348,1.23133796e-08,263.651348,1.03763954e-08
269.792577,1.23123963e-08,269.792577,1.03755659e-08
276.076853,1.23114354e-08,276.076853,1.03747554e-08
282.507509,1.23104964e-08,282.507509,1.03739634e-08
289.087954,1.23095789e-08,289.087954,1.03731895e-08
295.821678,1.23086823e-08,295.821678,1.03724333e-08
302.71225,1.23078061e-08,302.71225,1.03716944e-08
309.763324,1.230695e-08,309.763324,1.03709723e-08
316.978638,1.23061134e-08,316.978638,1.03702667e-08
324.362019,1.23052959e-08,324.362019,1.03695773e-08
331.917381,1.2304497e-08,331.917381,1.03689036e-08
339.64873,1.23037164e-08,339.64873,1.03682452e-08
347.560166,1.23029535e-08,347.560166,1.03676019e-08
355.655882,1.23022081e-08,355.655882,1.03669733e-08
363.940172,1.23014797e-08,363.940172,1.0366359e-08
372.417427,1.23007679e-08,372.417427,1.03657588e-08
381.092144,1.23000723e-08,381.092144,1.03651723e-08
389.96892,1.22993926e-08,389.96892,1.03645991e-08
399.052463,1.22987283e-08,399.052463,1.0364039e-08
408.347589,1.22980793e-08,408.347589,1.03634917e-08
417.859226,1.2297445e-08,417.859226,1.03629569e-08
427.592418,1.22968252e-08,427.592418,1.03624343e-08
437.552325,1.22962195e-08,437.552325,1.03619236e-08
447.744228,1.22956276e-08,447.744228,1.03614246e-08
458.173531,1.22950492e-08,458.173531,1.0360937e-08
468.845763,1.2294484e-08,468.845763,1.03604605e-08
479.766584,1.22939317e-08,479.766584,1.03599948e-08
490.941783,1.2293392e-08,490.941783,1.03595398e-08
502.377286,1.22928646e-08,502.377286,1.03590951e-08
514.079157,1.22923491e-08,514.079157,1.03586606e-08
526.053598,1.22918455e-08,526.053598,1.0358236e-08
538.306961,1.22913533e-08,538.306961,1.03578211e-08
550.845741,1.22908723e-08,550.845741,1.03574156e-08
563.676586,1.22904023e-08,563.676586,1.03570194e-08
576.806301,1.2289943e-08,576.806301,1.03566322e-08
590.241845,1.22894941e-08,590.241845,1.03562539e-08
603.990344,1.22890555e-08,603.990344,1.03558842e-08
618.059087,1.22886268e-08,618.059087,1.03555229e-08
632.455532,1.22882079e-08,632.455532,1.03551698e-08
