mode,rsrc,pos,cprobe,fcross_hz,pm_deg,tdb_10hz,rload
0db,1m,1,1f,928787,70.2178,72.3992,100k
0db,1m,1,47p,929873,69.9836,72.3992,100k
0db,1m,1,100p,930973,69.7189,72.3992,100k
0db,1m,1,220p,932955,69.1196,72.3992,100k
0db,1m,1,470p,934765,67.8965,72.3992,100k
0db,1m,1,1n,928381,65.6339,72.3992,100k
0db,1m,1,1.5n,913211,64.1091,72.3992,100k
0db,1m,1,2.2n,886686,62.9102,72.3992,100k
0db,1m,1,2.7n,868004,62.5359,72.3992,100k
0db,1m,1,3.3n,847861,62.4149,72.3992,100k
0db,1m,1,4.7n,811674,62.8201,72.3993,100k
0db,1m,2,1f,928787,70.2178,72.3992,100k
0db,1m,2,47p,929922,69.9833,72.3992,100k
0db,1m,2,100p,931193,69.7177,72.3992,100k
0db,1m,2,220p,934060,69.1117,72.3992,100k
0db,1m,2,470p,939984,67.828,72.3992,100k
0db,1m,2,1n,951648,65.0291,72.3992,100k
0db,1m,2,1.5n,961449,62.3034,72.3992,100k
0db,1m,2,2.2n,972345,58.4031,72.3992,100k
0db,1m,2,2.7n,977610,55.6051,72.3992,100k
0db,1m,2,3.3n,980893,52.2915,72.3992,100k
0db,1m,2,4.7n,974559,45.1255,72.3992,100k
0db,1k,1,1f,928752,69.9602,72.3992,100k
0db,1k,1,47p,929838,69.7258,72.3992,100k
0db,1k,1,100p,930937,69.4607,72.3992,100k
0db,1k,1,220p,932919,68.8609,72.3992,100k
0db,1k,1,470p,934728,67.6374,72.3992,100k
0db,1k,1,1n,928347,65.3766,72.3992,100k
0db,1k,1,1.5n,913179,63.856,72.3992,100k
0db,1k,1,2.2n,886657,62.6643,72.3992,100k
0db,1k,1,2.7n,867978,62.2952,72.3992,100k
0db,1k,1,3.3n,847837,62.1797,72.3992,100k
0db,1k,1,4.7n,811654,62.5948,72.3993,100k
0db,1k,2,1f,928752,69.9602,72.3992,100k
0db,1k,2,47p,929887,69.7254,72.3992,100k
0db,1k,2,100p,931158,69.4595,72.3992,100k
0db,1k,2,220p,934023,68.8527,72.3992,100k
0db,1k,2,470p,939946,67.5674,72.3992,100k
0db,1k,2,1n,951609,64.7654,72.3992,100k
0db,1k,2,1.5n,961407,62.0372,72.3992,100k
0db,1k,2,2.2n,972301,58.1341,72.3992,100k
0db,1k,2,2.7n,977564,55.3348,72.3992,100k
0db,1k,2,3.3n,980847,52.0205,72.3992,100k
0db,1k,2,4.7n,974517,44.8565,72.3992,100k
0db,2.5k,1,1f,928632,69.5761,72.3992,100k
0db,2.5k,1,47p,929717,69.3412,72.3992,100k
0db,2.5k,1,100p,930815,69.0758,72.3992,100k
0db,2.5k,1,220p,932796,68.4752,72.3992,100k
0db,2.5k,1,470p,934601,67.2513,72.3992,100k
0db,2.5k,1,1n,928227,64.9933,72.3992,100k
0db,2.5k,1,1.5n,913066,63.4789,72.3992,100k
0db,2.5k,1,2.2n,886561,62.298,72.3992,100k
0db,2.5k,1,2.7n,867889,61.9363,72.3992,100k
0db,2.5k,1,3.3n,847756,61.8289,72.3992,100k
0db,2.5k,1,4.7n,811583,62.2587,72.3993,100k
0db,2.5k,2,1f,928632,69.5761,72.3992,100k
0db,2.5k,2,47p,929766,69.3408,72.3992,100k
0db,2.5k,2,100p,931036,69.0744,72.3992,100k
